Category,OECD
01-08-2018 00:00,101.1321
01-09-2018 00:00,101.0622
01-10-2018 00:00,100.9693
01-11-2018 00:00,100.8621
01-12-2018 00:00,100.7856
01-01-2019 00:00,100.7606
01-02-2019 00:00,100.8293
01-03-2019 00:00,100.9087
01-04-2019 00:00,100.922
01-05-2019 00:00,100.8881
01-06-2019 00:00,100.7915
01-07-2019 00:00,100.6629
01-08-2019 00:00,100.5135
01-09-2019 00:00,100.4939
01-10-2019 00:00,100.5663
01-11-2019 00:00,100.7062
01-12-2019 00:00,100.807
01-01-2020 00:00,100.7349
01-02-2020 00:00,100.2449
01-03-2020 00:00,99.19491
01-04-2020 00:00,98.07468
01-05-2020 00:00,97.72494
01-06-2020 00:00,97.92938
01-07-2020 00:00,98.207
01-08-2020 00:00,98.46245
01-09-2020 00:00,98.68011
01-10-2020 00:00,98.76204
01-11-2020 00:00,98.77364
01-12-2020 00:00,98.88771
01-01-2021 00:00,99.02811
01-02-2021 00:00,99.30596
01-03-2021 00:00,99.71646
01-04-2021 00:00,100.0428
01-05-2021 00:00,100.2893
01-06-2021 00:00,100.4426
01-07-2021 00:00,100.3424
01-08-2021 00:00,100.1029
01-09-2021 00:00,99.941
01-10-2021 00:00,99.75962
01-11-2021 00:00,99.53249
01-12-2021 00:00,99.29149
01-01-2022 00:00,98.95622
01-02-2022 00:00,98.49282
01-03-2022 00:00,97.94978
01-04-2022 00:00,97.55543
01-05-2022 00:00,97.18091
01-06-2022 00:00,96.80843
01-07-2022 00:00,96.60779
01-08-2022 00:00,96.61653
01-09-2022 00:00,96.64053
01-10-2022 00:00,96.73994
01-11-2022 00:00,96.92147
01-12-2022 00:00,97.19515
01-01-2023 00:00,97.50269
01-02-2023 00:00,97.74992
01-03-2023 00:00,97.91487
01-04-2023 00:00,98.12066
01-05-2023 00:00,98.30699
01-06-2023 00:00,98.48782
01-07-2023 00:00,98.57301
01-08-2023 00:00,98.47617
01-09-2023 00:00,98.31731
01-10-2023 00:00,98.21489
01-11-2023 00:00,98.32293
01-12-2023 00:00,98.6492
01-01-2024 00:00,98.99618
